MemberICPSR,Congress,MemberName,MemberParty,MemberChamber,MemberState,MemberDistrict,Source
4812,111,"INOUYE, Daniel Ken",Other,Senate,HI,S,messages
14265,111,"Oberstar, James",Democrat,House,MN,8,messages
14651,111,"NELSON, Clarence William (Bill)",Democrat,Senate,FL,S,messages
14659,111,,Other,House,,,messages
14854,111,"Rogers, Harold",Other,House,KY,5,messages
14858,111,"SCHUMER, Charles Ellis (Chuck)",Other,Senate,NY,S,messages
14871,111,"WYDEN, Ronald Lee",Other,Senate,OR,S,messages
15019,111,"Cooper, Jim",Other,House,TN,5,messages
15033,111,"Levin, Sander",Democrat,House,MI,12,messages
15039,111,"McCAIN, John Sidney, III",Other,Senate,AZ,S,messages
15420,111,"Herger, Wally",Republican,House,CA,2,messages
15424,111,"INHOFE, James Mountain",Other,Senate,OK,S,messages
15444,111,"Slaughter, Louise",Democrat,House,NY,28,messages
15621,111,"Rohrabacher, Dana",Other,House,CA,46,messages
15627,111,"Stearns, Cliff",Other,House,FL,6,messages
20101,111,"Boozman, John",Other,House,AR,3,messages
20103,111,"Honda, Michael",Other,House,CA,15,messages
20104,111,"Schiff, Adam",Democrat,House,CA,29,messages
20107,111,"Issa, Darrell",Other,House,CA,49,messages
20110,111,"Miller, Jeff",Republican,House,FL,1,messages
20117,111,"Pence, Mike",Other,House,IN,6,messages
20124,111,"Graves, Sam",Republican,House,MO,6,messages
20125,111,"Rehberg, Denny",Republican,House,MT,1,messages
20129,111,"Israel, Steve",Democrat,House,NY,2,messages
20137,111,"Brown, Henry",Republican,House,SC,1,messages
20144,111,"Cantor, Eric",Other,House,VA,7,messages
20310,111,"Sanchez, Linda",Other,House,CA,39,messages
20333,111,"Kline, John",Republican,House,MN,2,messages
20336,111,"Garrett, Scott",Other,House,NJ,5,messages
20338,111,"Bishop, Timothy",Democrat,House,NY,1,messages
20341,111,"Miller, Brad",Other,House,NC,13,messages
20342,111,"Turner, Michael",Other,House,OH,3,messages
20347,111,"Barrett, J.",Republican,House,SC,3,messages
20351,111,"Blackburn, Marsha",Other,House,TN,7,messages
20353,111,"Neugebauer, Randy",Republican,House,TX,19,messages
20356,111,"Carter, John",Other,House,TX,31,messages
20503,111,"Mack, Connie",Republican,House,FL,14,messages
20504,111,"Wasserman Schultz, Debbie",Other,House,FL,20,messages
20505,111,"Price, Tom",Republican,House,GA,6,messages
20511,111,"Davis, Geoff",Republican,House,KY,4,messages
20516,111,"Carnahan, Russ",Democrat,House,MO,3,messages
20517,111,"Cleaver, Emanuel",Other,House,MO,5,messages
20518,111,"Fortenberry, Jeff",Other,House,NE,1,messages
20522,111,"McHenry, Patrick",Other,House,NC,10,messages
20527,111,"Gohmert, Louie",Other,House,TX,1,messages
20530,111,"McCaul, Michael",Other,House,TX,10,messages
20535,111,"McMorris Rodgers, Cathy",Other,House,WA,5,messages
20536,111,"Reichert, David",Republican,House,WA,8,messages
20537,111,"Moore, Gwen",Other,House,WI,4,messages
20701,111,"Giffords, Gabrielle",Other,House,AZ,8,messages
20703,111,"McCarthy, Kevin",Other,House,CA,22,messages
20704,111,"Lamborn, Doug",Other,House,CO,5,messages
20705,111,"Perlmutter, Ed",Other,House,CO,7,messages
20706,111,"Courtney, Joe",Democrat,House,CT,2,messages
20708,111,"Castor, Kathy",Other,House,FL,11,messages
20715,111,"Roskam, Peter",Other,House,IL,6,messages
20728,111,"Bachmann, Michele",Other,House,MN,6,messages
20730,111,"Heller, Dean",Other,House,NV,2,messages
