Platform,Congress,MemberICPSR,MemberName,MemberParty,MemberChamber,MemberState,MemberDistrict,n_messages,n_scored,mean_partisan_score,mean_partisan_extremity,p_Advertising,p_PositionTaking,p_CreditClaiming,p_NegativePartisan,p_Bipartisan,p_ConstituentService,p_CreditConstituent,p_CreditPolicy,mean_likes,mean_shares,mean_replies,mean_quotes,n_newsletters
Facebook,111,2605,"Dingell, John",Democrat,House,MI,15,459,252,-0.0609,0.5305,0.1699,0.2505,0.037,0.024,0.0218,0.0871,0.0153,0.0218,3.9673,0.0392,1.2614,,
Facebook,111,4812,"INOUYE, Daniel Ken",Democrat,Senate,HI,S,3,1,0.4525,0.2737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,
Facebook,111,10713,"Conyers, John",Other,House,MI,14,61,58,-0.0305,0.5152,0.2951,0.6885,0.2459,0.0328,0.0164,0.1311,0.0164,0.2295,11.8197,0.0,4.2787,,
Facebook,111,13035,"Rangel, Charles",Democrat,House,NY,15,204,200,-0.0606,0.5303,0.2255,0.4118,0.0686,0.0196,0.0049,0.0784,0.0147,0.0441,6.6324,0.0147,4.6422,,
Facebook,111,14066,"Young, Don",Republican,House,AK,1,156,130,0.2237,0.6119,0.3397,0.2885,0.0833,0.0385,0.0064,0.0769,0.0256,0.0705,6.3974,0.0,1.641,,
Facebook,111,14226,"GRASSLEY, Charles Ernest",Republican,Senate,IA,S,66,12,-0.0368,0.4816,0.0758,0.0152,0.0,0.0,0.0,0.1061,0.0,0.0,2.1212,0.0,2.3485,,
Facebook,111,14230,"HARKIN, Thomas Richard (Tom)",Democrat,Senate,IA,S,95,93,-0.1378,0.5689,0.7895,0.4211,0.0737,0.0,0.0211,0.0,0.0,0.0526,4.4316,0.0211,4.1158,,
Facebook,111,14256,"Miller, George",Democrat,House,CA,7,183,174,-0.1117,0.5558,0.2678,0.4973,0.1311,0.1038,0.0219,0.1257,0.0219,0.082,13.8798,0.0,5.7268,,
Facebook,111,14400,"AKAKA, Daniel Kahikina",Other,Senate,HI,S,123,107,-0.0861,0.5431,0.2439,0.3821,0.1138,0.0,0.0081,0.0732,0.0407,0.065,6.6585,0.0081,1.7561,,
Facebook,111,14435,"Markey, Edward",Democrat,House,MA,7,27,24,-0.283,0.6415,0.1852,0.1111,0.1111,0.0,0.0,0.0,0.0,0.037,1.9259,0.0,0.5926,,
Facebook,111,14659,,Other,House,,,544,283,0.2104,0.6052,0.0882,0.0956,0.0147,0.0092,0.0,0.0368,0.0018,0.0074,4.4467,0.0239,2.7996,,
Facebook,111,14824,"Frank, Barney",Other,House,MA,4,20,20,0.4089,0.2956,0.15,0.85,0.0,0.25,0.0,0.05,0.0,0.0,383.4,0.4,124.3,,
Facebook,111,14854,"Rogers, Harold",Other,House,KY,5,312,304,0.3076,0.6538,0.3365,0.5128,0.0481,0.0705,0.0,0.1635,0.0096,0.0417,3.1795,0.0192,1.6538,,
Facebook,111,14858,"SCHUMER, Charles Ellis (Chuck)",Other,Senate,NY,S,42,31,-0.1577,0.5789,0.1667,0.4048,0.1667,0.0238,0.0,0.0476,0.0238,0.0952,39.0238,0.119,18.9048,,
Facebook,111,14863,"Smith, Christopher",Other,House,NJ,4,2,2,0.1181,0.559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,,
Facebook,111,14869,"Wolf, Frank",Republican,House,VA,10,78,78,0.2718,0.6359,0.3077,0.7051,0.4487,0.1154,0.1538,0.2179,0.0128,0.4359,8.1667,0.1154,6.4744,,
Facebook,111,14871,"WYDEN, Ronald Lee",Other,Senate,OR,S,166,160,-0.0486,0.5243,0.259,0.5964,0.2771,0.0482,0.1024,0.1446,0.006,0.2289,85.6988,0.0,31.8373,,
Facebook,111,14873,"Hoyer, Steny",Democrat,House,MD,5,133,124,0.1837,0.4082,0.2782,0.7293,0.0752,0.3008,0.0827,0.0451,0.0,0.0451,13.4586,0.0,19.4511,,
Facebook,111,14914,"LAUTENBERG, Frank Raleigh",Democrat,Senate,NJ,S,151,148,-0.1483,0.5742,0.2185,0.6225,0.245,0.0662,0.0,0.1589,0.0662,0.106,12.3775,0.0,2.6954,,
Facebook,111,14920,"KERRY, John Forbes",Other,Senate,MA,S,182,103,-0.0363,0.5181,0.1538,0.1978,0.0549,0.011,0.011,0.1319,0.0165,0.0275,26.4396,0.0055,7.3901,,
Facebook,111,15000,"Ackerman, Gary",Democrat,House,NY,5,87,87,0.0161,0.4919,0.2989,0.7816,0.4828,0.0575,0.0,0.1034,0.023,0.4138,3.6092,0.0,1.8966,,
Facebook,111,15015,"CARPER, Thomas Richard",Other,Senate,DE,S,250,234,0.045,0.4775,0.528,0.476,0.184,0.0,0.036,0.06,0.028,0.072,2.284,0.004,0.852,,
Facebook,111,15019,"Cooper, Jim",Other,House,TN,5,39,34,-0.0226,0.5113,0.2051,0.2308,0.0513,0.0,0.0,0.1795,0.0256,0.0256,4.5128,0.0,5.0,,
Facebook,111,15021,"DURBIN, Richard Joseph",Other,Senate,IL,S,4,4,0.1172,0.4414,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.25,27.25,0.0,79.0,,
Facebook,111,15033,"Levin, Sander",Democrat,House,MI,12,25,22,-0.0559,0.528,0.36,0.12,0.0,0.04,0.0,0.48,0.0,0.0,4.72,0.0,2.88,,
Facebook,111,15039,"McCAIN, John Sidney, III",Republican,Senate,AZ,S,182,153,0.2696,0.6348,0.3901,0.2637,0.022,0.011,0.0055,0.0989,0.011,0.0165,276.9505,0.011,78.2033,,
Facebook,111,15054,"REID, Harry",Other,Senate,NV,S,1120,754,-0.022,0.511,0.1143,0.2589,0.0402,0.0804,0.0018,0.0152,0.0393,0.0018,27.9429,0.0018,34.4134,,
Facebook,111,15072,"Towns, Edolphus",Democrat,House,NY,10,229,179,-0.1965,0.5983,0.4498,0.1092,0.0306,0.0,0.0,0.0873,0.0131,0.0044,0.9782,0.0131,0.5852,,
Facebook,111,15124,"Visclosky, Peter",Democrat,House,IN,1,132,120,-0.1847,0.5923,0.1667,0.2273,0.0909,0.0152,0.0,0.4924,0.0303,0.0606,3.9924,0.0,1.1212,,
Facebook,111,15408,"CARDIN, Benjamin Louis",Democrat,House,MD,S,16,12,0.0282,0.4859,0.0625,0.25,0.0625,0.0,0.0,0.3125,0.0625,0.0625,4.4375,0.0625,1.125,,
Facebook,111,15410,"DeFazio, Peter",Other,House,OR,4,191,150,0.0563,0.4719,0.377,0.3141,0.0681,0.0471,0.0,0.1099,0.0157,0.0262,16.1309,0.0471,8.1309,,
Facebook,111,15424,"INHOFE, James Mountain",Republican,Senate,OK,S,298,268,0.5126,0.7563,0.3188,0.6611,0.057,0.2181,0.0201,0.0302,0.0034,0.0403,8.9799,0.0034,5.1577,,
Facebook,111,15431,"Lewis, John",Other,House,GA,5,69,50,-0.0924,0.5462,0.1449,0.2464,0.0435,0.0435,0.0,0.0,0.0,0.029,18.6812,1.0725,3.9855,,
Facebook,111,15438,"Price, David",Other,House,NC,4,13,13,-0.0727,0.5364,0.3077,0.3077,0.0769,0.2308,0.0,0.0,0.0,0.0769,20.0769,0.0,5.3846,,
Facebook,111,15444,"Slaughter, Louise",Democrat,House,NY,28,62,43,0.0249,0.4876,0.129,0.4032,0.0161,0.0484,0.0,0.0968,0.0161,0.0161,3.8226,0.0,2.7258,,
Facebook,111,15446,"Upton, Fred",Republican,House,MI,6,147,107,0.2486,0.6243,0.2653,0.3673,0.034,0.0816,0.0068,0.0816,0.0,0.034,4.2313,0.0068,2.551,,
Facebook,111,15448,"Pelosi, Nancy",Democrat,House,CA,8,30,30,-0.0712,0.5356,0.0333,0.8,0.0333,0.1667,0.0333,0.0,0.0,0.0333,302.5333,1.0333,140.2,,
Facebook,111,15454,"Pallone, Frank",Democrat,House,NJ,6,415,415,-0.0176,0.5088,0.359,0.5663,0.0964,0.0458,0.0048,0.306,0.0217,0.0458,5.7301,0.0,9.8964,,
Facebook,111,15455,"Duncan, John",Other,House,TN,2,16,5,0.2134,0.6067,0.0625,0.1875,0.0625,0.0,0.0,0.0,0.0,0.0,0.5625,0.0,0.3125,,
Facebook,111,15612,"Lowey, Nita",Democrat,House,NY,18,22,22,-0.3326,0.6663,0.0909,0.2727,0.0455,0.0,0.0,0.0909,0.0455,0.0455,9.6818,0.0,3.7727,,
Facebook,111,15613,"McDermott, Jim",Democrat,House,WA,7,97,88,0.0795,0.4603,0.3814,0.5979,0.1649,0.0928,0.0103,0.1237,0.0206,0.134,22.1443,0.0206,10.3196,,
Facebook,111,15616,"Neal, Richard",Other,House,MA,2,83,66,-0.1905,0.5952,0.3253,0.1205,0.0723,0.012,0.0,0.3133,0.0602,0.0482,7.1687,0.0,1.253,,
Facebook,111,15621,"Rohrabacher, Dana",Republican,House,CA,46,41,38,0.3715,0.6857,0.3415,0.4634,0.0732,0.2195,0.0,0.0732,0.0,0.0976,5.8537,0.0,4.6341,,
Facebook,111,15627,"Stearns, Cliff",Republican,House,FL,6,189,162,0.3183,0.6591,0.291,0.5132,0.037,0.0688,0.0,0.0265,0.0,0.037,3.746,0.0,2.8519,,
Facebook,111,20101,"Boozman, John",Republican,House,AR,3,576,549,0.1555,0.5778,0.4132,0.2917,0.0868,0.1007,0.0017,0.2656,0.0052,0.0781,24.4531,0.0052,7.151,,
Facebook,111,20103,"Honda, Michael",Democrat,House,CA,15,95,92,-0.1348,0.5674,0.4211,0.4526,0.1158,0.0421,0.0105,0.2947,0.0105,0.0947,11.0316,0.0105,6.2421,,
Facebook,111,20107,"Issa, Darrell",Republican,House,CA,49,758,663,0.4911,0.7455,0.2124,0.4697,0.0158,0.2797,0.0145,0.0224,0.0,0.0092,14.7757,0.0567,10.2599,,
Facebook,111,20110,"Miller, Jeff",Republican,House,FL,1,15,10,0.4114,0.7057,0.0,0.0,0.0,0.2667,0.0,0.0667,0.0,0.0,0.4667,0.0,0.0667,,
Facebook,111,20111,"Crenshaw, Ander",Republican,House,FL,4,21,20,0.1539,0.577,0.1905,0.4286,0.2857,0.0476,0.0,0.381,0.0,0.1429,0.2381,0.0,0.0952,,
Facebook,111,20117,"Pence, Mike",Other,House,IN,6,746,590,0.4379,0.719,0.4249,0.2842,0.0241,0.0992,0.0013,0.1354,0.0,0.0241,79.1823,0.2239,23.4383,,
Facebook,111,20124,"Graves, Sam",Republican,House,MO,6,183,161,0.3932,0.6966,0.1257,0.5847,0.0492,0.0984,0.0164,0.0656,0.0109,0.0328,5.8087,0.0,3.9781,,
Facebook,111,20129,"Israel, Steve",Democrat,House,NY,2,138,130,-0.0919,0.5459,0.3116,0.2319,0.087,0.0507,0.0,0.3043,0.0145,0.0435,6.0072,0.0,2.8406,,
Facebook,111,20136,"Langevin, James",Other,House,RI,2,279,215,-0.1306,0.5653,0.3226,0.1434,0.0932,0.0036,0.0,0.2473,0.0215,0.0358,3.9462,0.0072,1.6022,,
Facebook,111,20138,"Wilson, Joe",Other,House,SC,2,901,791,0.319,0.6595,0.3618,0.3807,0.0599,0.1232,0.0111,0.1521,0.0033,0.0488,41.7458,0.0022,22.1576,,
Facebook,111,20143,"Forbes, J.",Republican,House,VA,4,366,317,0.3139,0.6569,0.2978,0.3689,0.0656,0.0355,0.0027,0.2077,0.0,0.0656,8.8115,0.0027,6.8852,,
Facebook,111,20144,"Cantor, Eric",Republican,House,VA,7,121,115,0.5518,0.7759,0.1653,0.5372,0.0083,0.3306,0.0165,0.0083,0.0,0.0083,432.6033,0.1818,100.2727,,
Facebook,111,20145,"Larsen, Rick",Democrat,House,WA,2,218,190,0.0016,0.4992,0.2156,0.2615,0.0367,0.0505,0.0,0.1743,0.0092,0.0275,8.9908,0.0,2.445,,
Facebook,111,20146,"Capito, Shelley",Republican,House,WV,2,143,129,0.3103,0.6552,0.4476,0.4545,0.0699,0.0629,0.035,0.1189,0.0,0.0699,14.2378,0.0,3.8042,,
